episode,score,total_reward,avg_loss,epsilon,steps
1,0,-11.450000000000001,0.0,0.995,96
2,0,-12.57,0.0,0.990025,68
3,1,0.3500000000000014,0.0,0.985074875,77
4,0,-11.38,0.0,0.9801495006250001,19
5,0,-11.4,0.0,0.9752487531218751,161
6,1,-0.3199999999999914,0.0,0.9703725093562657,54
7,0,-10.94,0.0,0.9655206468094844,35
8,0,-10.219999999999999,0.0,0.960693043575437,83
9,1,0.490000000000002,0.0,0.9558895783575597,23
10,0,-12.360000000000001,0.0,0.9511101304657719,137
11,0,-10.76,0.0,0.946354579813443,57
12,0,-10.049999999999999,0.0,0.9416228069143757,56
13,0,-10.11,0.0,0.9369146928798039,82
14,0,-11.54,1.982893481850624,0.9322301194154049,55
15,0,-9.73,1.4911269196600188,0.9275689688183278,64
16,1,0.490000000000002,1.0635142611383006,0.9229311239742362,43
17,0,-11.860000000000001,0.5795308364991177,0.918316468354365,47
18,0,-11.02,0.43658375837232755,0.9137248860125932,23
19,0,-10.18,0.4566996816153589,0.9091562615825302,19
20,0,-10.34,0.3728477880697359,0.9046104802746175,55
21,0,-12.76,0.31225144239062935,0.9000874278732445,117
22,0,-11.63,0.23346360964591012,0.8955869907338783,34
23,0,-10.63,0.24847891137880437,0.8911090557802088,34
24,1,0.490000000000002,0.20297423688073954,0.8866535105013078,63
25,0,-10.459999999999999,0.2711441732560084,0.8822202429488013,107
26,0,-12.830000000000002,0.20249829078861273,0.8778091417340573,194
27,1,0.5900000000000016,0.23804682588099307,0.8734200960253871,53
28,1,0.23000000000000576,0.27319979060279287,0.8690529955452602,69
29,0,-9.6,0.27977442812205344,0.8647077305675338,121
30,0,-11.47,0.3289869318393116,0.8603841919146962,98
31,0,-9.26,0.19193654907522378,0.8560822709551227,27
32,0,-8.94,0.26015765283788955,0.851801859600347,35
33,0,-12.180000000000001,0.22139290694968175,0.8475428503023453,59
34,1,-0.6099999999999959,0.24906626223803383,0.8433051360508336,73
35,0,-12.0,0.36980184359995066,0.8390886103705794,61
36,0,-11.82,0.3473804094070612,0.8348931673187264,43
37,0,-9.16,0.29506667517125607,0.8307187014821328,17
38,1,0.2900000000000009,0.31883252987071226,0.8265651079747222,23
39,0,-10.64,0.3039435917304622,0.8224322824348486,45
40,1,1.2900000000000027,0.3955994393070077,0.8183201210226743,43
41,2,11.260000000000005,0.37669788039567176,0.8142285204175609,57
42,0,-10.24,0.3646215463678042,0.810157377815473,45
43,0,-9.1,0.37747787253237236,0.8061065909263957,51
44,1,0.740000000000002,0.329915636839966,0.8020760579717637,48
45,1,0.09000000000000341,0.39134832115277,0.798065677681905,23
46,1,-0.1999999999999975,0.4093083639052652,0.7940753492934954,42
47,1,0.4900000000000002,0.4436730609903502,0.7901049725470279,43
48,1,1.0000000000000036,0.4531411752104759,0.7861544476842928,42
49,1,0.370000000000001,0.4025780719753943,0.7822236754458713,95
50,0,-10.74,0.4476329636844722,0.778312557068642,55
51,0,-10.18,0.5103892887556793,0.7744209942832988,99
52,1,0.860000000000003,0.48618101835664773,0.7705488893118823,36
53,0,-9.889999999999999,0.3712227084984382,0.7666961448653229,60
54,0,-10.34,0.4472368079152974,0.7628626641409962,55
55,0,-10.07,0.511011070130687,0.7590483508202912,38
56,1,-0.7399999999999984,0.3947374741386237,0.7552531090661897,116
57,0,-9.47,0.3627272869149844,0.7514768435208588,18
58,1,1.17,0.40845560516629903,0.7477194593032545,35
59,0,-10.309999999999999,0.45014533678106233,0.7439808620067382,102
60,2,11.07,0.415813781644987,0.7402609576967045,46
61,1,0.7700000000000031,0.7448273096765791,0.736559652908221,35
62,2,10.830000000000009,0.710044499569469,0.7328768546436799,90
63,0,-9.99,0.7240604917208354,0.7292124703704616,30
64,0,-10.02,0.5689217566057693,0.7255664080186093,43
65,0,-10.77,0.6697421143339439,0.7219385759785162,88
66,1,0.12000000000000632,0.6296628574912365,0.7183288830986236,130
67,0,-9.99,0.604988089799881,0.7147372386831305,50
68,1,0.6799999999999997,0.692378968000412,0.7111635524897149,14
69,1,0.40000000000000213,0.75209785156673,0.7076077347272662,62
70,0,-10.219999999999999,0.6646837425786395,0.7040696960536299,43
71,1,0.7000000000000011,0.6616485859784815,0.7005493475733617,72
72,1,0.28000000000000114,0.7223416666189829,0.697046600835495,54
73,1,0.23000000000000043,0.8062094645253544,0.6935613678313175,29
74,1,0.870000000000001,0.8339206886291504,0.6900935609921609,25
75,1,0.38000000000000256,0.7876571416854858,0.6866430931872001,24
76,0,-9.27,0.6981462430622842,0.6832098777212641,18
77,1,0.27000000000000135,0.670225513495248,0.6797938283326578,145
78,1,1.4600000000000009,0.7752699367702007,0.6763948591909945,96
79,3,20.360000000000003,0.7394197822568265,0.6730128848950395,188
80,2,11.149999999999999,0.9055490816632906,0.6696478204705644,18
81,1,1.4399999999999995,0.9710719961869089,0.6662995813682115,38
82,1,0.7800000000000011,0.8966746305425962,0.6629680834613705,24
83,1,0.5800000000000001,0.803913680667227,0.6596532430440636,44
84,1,0.6500000000000021,0.8615979221132066,0.6563549768288433,27
85,1,0.020000000000004903,0.8755962312221527,0.653073201944699,80
86,1,1.1400000000000006,0.8200934076060852,0.6498078359349755,48
87,1,1.2600000000000016,0.9957631271746423,0.6465587967553006,36
88,1,1.1199999999999992,0.898466151356697,0.6433260027715241,50
89,2,10.440000000000001,0.7617853627755091,0.6401093727576664,39
90,4,32.240000000000016,0.9165570577721537,0.6369088258938781,81
91,1,1.760000000000007,0.9442788705510913,0.6337242817644086,106
92,2,11.560000000000002,0.9390698362279821,0.6305556603555866,27
93,1,0.8499999999999996,0.8445828457673391,0.6274028820538087,27
94,0,-9.73,0.8757703465720018,0.6242658676435396,24
95,0,-9.48,0.9180706328359144,0.6211445383053219,29
96,1,0.5500000000000007,0.8540796059019425,0.6180388156137953,17
97,1,0.5600000000000005,0.8790686634870676,0.6149486215357263,26
98,1,1.1000000000000014,1.101405706256628,0.6118738784280476,32
99,1,0.3100000000000023,0.9267134481952304,0.6088145090359074,21
100,1,1.3600000000000012,0.9829862926042441,0.6057704364907278,66
101,0,-10.389999999999999,1.2200669765472412,0.6027415843082742,30
102,1,1.8699999999999992,1.1460799402660793,0.5997278763867329,45
103,3,21.42000000000001,1.1143299761365673,0.5967292370047992,122
104,1,1.5599999999999987,1.232778468957314,0.5937455908197752,26
105,1,0.5300000000000011,1.0482643309392428,0.5907768628656763,19
106,2,10.720000000000002,1.13612973882306,0.5878229785513479,31
107,1,0.46000000000000085,1.1582755893468857,0.5848838636585911,16
108,2,10.64,1.0720370610555012,0.5819594443402982,39
109,1,0.6999999999999993,1.1302625332027674,0.5790496471185967,32
110,2,12.870000000000008,1.1592983073658414,0.5761543988830038,126
111,1,1.1600000000000055,1.2028342173543087,0.5732736268885887,86
112,1,0.8900000000000006,1.1084666238274685,0.5704072587541458,43
113,1,1.4600000000000044,1.223124303988048,0.567555222460375,56
114,2,11.719999999999999,1.1328584283005958,0.5647174463480732,51
115,2,12.880000000000006,1.1298608030143538,0.5618938591163328,95
116,0,-8.76,1.113388848932166,0.5590843898207511,57
117,1,0.20000000000000107,1.093246121298183,0.5562889678716474,22
118,1,0.5700000000000021,1.3541519965444293,0.5535075230322891,35
119,2,12.750000000000004,1.138359098862379,0.5507399854171277,78
120,1,1.4399999999999995,1.0991022382911884,0.547986285490042,38
121,1,0.990000000000002,1.6282061266176628,0.5452463540625918,33
122,0,-9.0,1.4690472341719127,0.5425201222922789,21
123,1,0.7500000000000018,1.3731568439586743,0.5398075216808175,37
124,1,0.15000000000000213,1.3146764741224402,0.5371084840724134,17
125,1,0.39000000000000057,1.4022622473959654,0.5344229416520513,53
